Latest: Time (s),Latest: No Vesta (°C),Latest: Vesta (°C)
0,30.1577048876,28.4039856383
0.5,30.1532538226,28.4217898984
1,30.1488027576,28.4529473537
1.5,30.1577048876,28.4707516138
2,30.1532538226,28.4885558739
2.5,30.1532538226,28.497458004
3,30.1532538226,28.5152622641
3.5,30.1488027576,28.5419686543
4,30.1399006275,28.5508707844
4.5,30.1399006275,28.5642239795
5,30.1399006275,28.5864793046
5.5,30.1399006275,28.6087346298
6,30.1354495625,28.6220878249
6.5,30.1265474324,28.639892085
7,30.1265474324,28.6532452801
7.5,30.1220963674,28.6755006053
8,30.1220963674,28.6933048654
8.5,30.1176453023,28.7022069955
9,30.1087431723,28.7289133857
9.5,30.1042921072,28.7333644507
10,30.0953899772,28.7467176458
10.5,30.0998410422,28.764521906
11,30.0864878471,28.768972971
11.5,30.0998410422,28.7823261661
12,30.0998410422,28.8223857514
12.5,30.0953899772,28.898053857
13,30.0909389121,29.0093304828
13.5,30.0909389121,29.0894496534
14,30.0998410422,29.174019889
14.5,30.0998410422,29.2407858645
15,30.0998410422,29.303100775
15.5,30.0953899772,29.3654156855
16,30.0998410422,29.4143774008
16.5,30.1042921072,29.4766923113
17,30.0953899772,29.5301050917
17.5,30.0953899772,29.5790668071
18,30.0953899772,29.6324795875
18.5,30.0998410422,29.6725391728
19,30.0998410422,29.7304030182
19.5,30.0953899772,29.7793647335
20,30.1042921072,29.8149732538
20.5,30.0998410422,29.8594839041
21,30.0909389121,29.8817392293
21.5,30.1131942373,29.9262498796
22,30.1087431723,29.9574073349
22.5,30.1042921072,29.9885647901
23,30.1176453023,30.0330754404
23.5,30.1176453023,30.0686839607
24,30.1309984974,30.0998414159
24.5,30.1265474324,30.1309988712
25,30.1309984974,30.1755095215
25.5,30.1354495625,30.1977648467
26,30.1399006275,30.2289223019
26.5,30.1488027576,30.2556286921
27,30.1443516925,30.2956882774
27.5,30.1577048876,30.3179436026
28,30.1577048876,30.3580031879
28.5,30.1710580827,30.3847095781
29,30.1933134079,30.4292202284
29.5,30.1844112778,30.4603776836
30,30.1933134079,30.4870840738
30.5,30.1977644729,30.5315947242
31,30.2244708631,30.5627521794
31.5,30.2333729932,30.5983606997
32,30.2378240582,30.6295181549
32.5,30.2378240582,30.6606756101
33,30.2378240582,30.6918330654
33.5,30.2511772533,30.7185394556
34,30.2600793834,30.7541479758
34.5,30.2600793834,30.780854366
35,30.2689815135,30.8075607562
35.5,30.2734325785,30.8431692765
36,30.2734325785,30.8743267317
36.5,30.2778836435,30.905484187
37,30.2956879037,30.9410927072
37.5,30.2956879037,30.9677990974
38,30.3045900337,30.9989565526
38.5,30.2956879037,31.0212118778
39,30.2956879037,31.043467203
39.5,30.2956879037,31.0612714631
40,30.3001389687,31.0835267883
40.5,30.3090410987,31.1013310484
41,30.3179432288,31.1102331785
41.5,30.3179432288,31.1324885036
42,30.3312964239,31.1413906337
42.5,30.344649619,31.1591948938
43,30,28
43.5,31,30
